time,FMIDPRICE,f2,f3,f4,f5,f6,f7,f8,f9,f10
2017-09-01 08:45:33.616880,10573.5,-11.0,0.963636363636,-0.405528668961,0.826170715894,0.0,-4.0,0.0,0.0,0.0
2017-09-01 08:45:33.866851,10574.5,3.0,-0.931034482759,1.04374815916,0.145755299827,0.0,1.0,-1.0,0.0,0.0
2017-09-01 08:45:34.241920,10573.5,9.0,0.966666666667,0.600548575094,0.815791639433,0.0,0.0,0.0,0.0,0.0
2017-09-01 08:45:34.616750,10574.5,7.0,0.966666666667,0.574536288294,0.637689175387,0.0,2.0,1.0,0.0,0.0
2017-09-01 08:45:42.241995,10575.5,55.0,-0.92,0.3993446982,1.23574204238,0.0,-1.0,38.0,-0.230883123408,1.91188587312
2017-09-01 08:45:42.866764,10574.5,6.0,0.975,0.290369997013,0.584943405066,0.0,-1.0,-3.0,0.0,0.0
2017-09-01 08:45:44.741887,10575.5,8.0,0.97619047619,0.269514627112,0.457081026184,0.0,5.0,-5.0,0.0,0.0
2017-09-01 08:45:45.366883,10574.5,4.0,0.978021978022,0.463298057382,0.53689511258,1.0,-6.0,3.0,0.0,0.990320358145
2017-09-01 08:45:46.617002,10575.5,-1.0,0.977777777778,-0.46170190865,0.419648098399,1.0,-2.0,-3.0,0.0,0.0
2017-09-01 08:45:49.741931,10574.5,6.0,0.979591836735,-0.703901851328,0.822041261707,0.0,-4.0,-16.0,0.0,-0.600550305529
2017-09-01 08:45:54.991939,10573.5,-53.0,0.979591836735,-0.715137500834,-1.05602262461,0.0,-31.0,-63.0,0.0,-2.98899784144
2017-09-01 08:46:00.366919,10574.5,74.0,0.966101694915,1.08710185274,1.49236210363,0.0,10.0,39.0,0.407882356868,2.46998449355
2017-09-01 08:46:00.991917,10573.5,-56.0,0.949367088608,-0.844070511169,-1.53289563359,-1.0,-3.0,-5.0,0.0,-0.285930539413
2017-09-01 08:46:02.866780,10574.5,8.0,0.977272727273,0.954169370344,1.2600026005,0.0,7.0,-5.0,0.0,0.0
2017-09-01 08:46:06.616785,10573.5,57.0,0.977528089888,1.27592634814,1.06932227624,0.0,-14.0,36.0,0.0,0.839117875145
